Job Title,Company Name,Location,Publishing Date,Job Type,Skills,Job Requirements
Cloud Solution Engineer - R&D,Link Datacenter -,"Giza, Egypt ",Posted 1 day ago,Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure · Cloud · Computer Engineering · Computer Science · Docker · Engineering · Information Technology (IT) · Linux,"Good command of English language.Deployment and operational expertise at major Linux OS distributions.Knowledge of IP networking, VPN's, DNS, load balancing and security.Strong understanding of Linux based platforms such like Apache, BIND, MySQL, NGINX, Docker, Kubernetes …etc.Proven experience of UNIX Scripting – Bash, Python.Managing and troubleshooting Linux & UNIX systems.Knowledge of big data and analytics solutions is preferred as an asset.Very good communication skills with a friendly customer oriented manner.Very Good Presentation, analytical & Problem Solving Skills.2-4 years of relevant professional experience in a large, diversified , Infrastructure (hyper/cloud based) environmentsGood knowledge of Microsoft Azure different services (IAAS, PAAS, Application Gateway, Virtual Network …etc.)Knowledge of IP networking, VPN's, DNS, load balancing and server/service security best practices.Strong knowledge of emerging IT technology solutions, industry trends, and progressive operations methodology."
,,,,,,
Junior Software Engineer,"Telecom Systems Provider, LLC -","Maadi, Cairo, Egypt ",Posted 10 days ago,Full Time,Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Engineering · javaScript · Software · HTML,"Job Requirements

BS in Software Engineering, Computer Science, or equivalent.
Proficiency in Python, knowledge about other modern programming languages such as GoLang or Java is a plus.
System admin skills.
In-depth understanding of web development
Experience with programming languages like Java, Ruby, PHP, and Python
Have deep experience in developing SOAP and RESTful API
Familiar with front-end languages such as HTML, JavaScript, and CSS
Good knowledge of Postgres, MySQL, Oracle, and Google Firebase
Good knowledge of Back-end testing with PostMan.
"
,,,,,,
Senior Backend Engineer - Operations Domain,Nana -,"Sheraton, Cairo, Egypt ",Posted 4 days ago,Full Time,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Agile · Computer Science · Engineering · English · HTML · Information Technology (IT) · JavaScript,"Bachelor of Computer Science or equivalent.Excellent communication skills and fluency in English.Minimum 4 years of professional industry experience.Motivation and enjoyment of a startup environment.2+ years of experience in Python development is a must.Expert knowledge of programming concepts and object-oriented programming.Hands-on experience in web applications.Hands-on experience in Web Services (Restful) using Frappe, Flask, Django, etc.Expertise with client-side JavaScript and HTML based UI development.Experience with MySQL relational databases and handling large datasets.Knowledge in UNIX/Linux (a plus).Exposure to systems and/or network automation and monitoring (a plus).An ability to balance a sense of urgency with shipping high quality and pragmatic solutions.Extensive experience working with a large codebase and cross-functional teams.Ability to perform in a fast-paced team environment using agile methodologies."
,,,,,,
Software Solution Architect - Cairo,SSC Egypt -,"Cairo, Egypt ",Posted 3 days ago,Full Time,Full TimeExperienced · 10+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Java · Python · DevOps · Docker · Kotlin · JVM · k8,"10+ years of experience Expert in the architecture and solutions of technical components of the domains, products and customer journeys.Expert in designing artifacts architecture, design and UML as well as presentation capabilities for both backend and frontend solutions and integrated journeys.Can make architecture decisions at a team and product levelSeasoned software architect with deep insight into newest technologies and trends, Java/JVM, Kotlin, and Python.Hands-on experience in production Cloud (Docker, K8), DevOps CI/CD environmentsExperience in Agile Development, with specific Solution Architect (or similar) experience preferredUnderstands relationship with Product Owner, Scrum Master, Design Lead and rest of technical teamExperience managing technical priorities and dependencies within the BacklogStrong communication skills with ability to align the organization on complex technical decisionsActive coach and mentor whose goals are to grow and maximize the team’s potentialHigh energy and passionate individual who inspires teammates to reach them maximum potentialExcited about trying new solutions outside standard approvedEmbraces a culture of trust, free thought complete transparencyBrave and rebellious, willing to challenge status quo"
,,,,,,
Odoo Developer,Engosoft -,"Nasr City, Cairo, Egypt ",Posted 9 days ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Development · Computer Science · Information Technology (IT) · Odoo · Python,"Working experience with PythonAt least 2 years of experience of Odoo development specificationsStrong debugging and troubleshooting skillsStrong Technical Knowledge in Object-Oriented Programming Concepts and data structures.Develop apps/featuresUnderstand Relational databasesWorking experience with relational database design and modelingWorking experience with relational database management systems (PostgreSQL,)Expertise in HTML, XML, JavaScript, and JQuery.Solid expertise with GIT or equivalent source control system.Good knowledge of business processes.Experience in setup Odoo servers & databases.Experience in data migration in OdooObject-oriented programming, object modeling, and relational databaseQuick & Autonomous learnerGood speaking &understanding of English  reading & writing"
,,,,,,
Full Stack Java Developer (Remotely for USA),Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Posted 8 days ago,Full Time,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Computer Science · Java · JavaScript · React · CSS · Python · jQuery,"Proven experience as a Full Stack Developer or similar roleExperience developing desktop and mobile applicationsFamiliarity with common stacksKnowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX designExcellent communication and teamwork skillsGreat attention to detailOrganizational skillsAn analytical mindDegree in Computer Science, Statistics or relevant field"
,,,,,,
Senior Java Developer / Software Engineer,Egybell -,"Nasr City, Cairo, Egypt ",Posted 11 days ago,Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · React · ORM · Python · Java · SQL · Software Engineering · Software Development,"B.SC in Computer Science/Engineering or equivalent is required.3+ years of relevant experience.Excellent communication and presentation skillsExcellent English.Spring Core.Java 11.SQL queries.AWS, and Python knowledge is a plus.Spring BootORM (Hibernate/JPA/MyBatis)React "
,,,,,,
IoT Lab Specialist - Assiut,Cultiv -,"New Assuit, Assiut, Egypt ",Posted 9 days ago,Full Time,Full TimeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Engineering · Software Development · Java · Python · Electronics · Altium · Proteus · Eagle,"
Bachelor's Degree in electronics, communications or computer engineering.
Familiar with one or more programming languages like C, Java or Python.
Familiar with one or more of circuit design software like Eagle, Proteus, Altium, etc.
Experience in using basic electronic equipment (e. g., power supplies, multimeters, oscilloscopes, function generators, etc.).
Experience in hardware/electronics technician soldering, crimping, etc.
Having a good knowledge of IoT products.
Ability to communicate complex technical issues in an appropriate, concise and accurate fashion visually and in writing.
Motivated, self-driven and highly organized individual.
Ability to work in individual and team projects.
Good verbal and written communication skills
"
,,,,,,
Senior Full Stack Developer,Dafater -,"Heliopolis, Cairo, Egypt ",Posted 10 days ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · CSS · HTML · javaScript,"Job Requirements:Strong experience in building websites using HTML, CSS, and JavaScriptStrong experience with modern web frameworks and/or libraries such as jQuery, Bootstrap, etc.To be Good experience in building web applications with any common web technologies (Python, Node.JS, Java, .Net, PHP, Ruby) - Python is preferred.Good SQL Skills and specifically Familiar with MySQL and open source Database providersYou are great at solving problems, debugging, troubleshooting, designing and implementing solutions to complex technical issues.You understand object-oriented programming principlesYou are comfortable using the Linux command lineYou have a working knowledge of source control software such as Git (preferred) or SVNYou thrive on collaboration, working side by side with people of all backgrounds and disciplines.An understand of RESTful interfacesYou are experienced working with web front-end frameworks like (Reactjs - Vue.js - Angular, etc.)You are highly motivated and have a passion for creating and supporting great products.Ability to multi-task and manage tasks with varying prioritiesAbility to work independently with minimal supervisionMust be able to brainstorm and communicate technology ideas and issues with peers and managementExcellent verbal and written communication skills"
,,,,,,
Full Stack Developer,Confidential -,"Downtown, Cairo, Egypt ",Posted 9 days ago,Full Time,Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Programming · NoSQL · JavaScript · Information Technology (IT) · Engineering · Computer Science · Software Development,"Minimum experience of 1 year in a software engineering role.Advanced proficiency in any strongly typed language (such as C#, Java, C++, Python, etc.)Comfortable with SQL and NoSQL databases.Experience in vector graphics editor and prototyping tool.Extremely good problem solving skills.Knowledge of professional software engineering best practices via code reviews, building tools and documentation.Ability to understand, contribute to and expand upon a complex existent codebase.Excellent understanding of current web technologies and inner workings of frontend frameworks.Candidate should be self-motivated, independent, detail oriented and punctual.Staying abreast of developments in web applications and programming languages.Bonus:Proficiency in Golang and TypescriptWorked in encryption and secure data management"
,,,,,,
Senior Devops Engineer,TriStar MENA -,"Riyadh, Saudi Arabia ",Posted 9 days ago,Full TimeWork From Home,Full TimeWork From HomeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Design · Java · Information Technology (IT) · DevOps · Software Development · Computer Science · Python,.
,,,,,,
Senior Mobile App Application,Div Systems -,"Mokattam, Cairo, Egypt ",Posted 10 days ago,Full Time,Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · kISS · MVVM · Python · Django · flutter · Mobile App · application · Engineering,"Experience with automated builds and CIGood knowledge of SOLID, KISS, DRY PrinciplesUpper-Intermediate spoke and written English communication skillFamiliarity with Agile Architectural knowledge of MVVMExperience with cross-platform frameworks FlutterStrong knowledge of Kotlin programming language; Python programming languageExperience with Android APIs and CapabilitiesExcellent Jetpack knowledgeExperience with Android APIs and CapabilitiesExcellent Jetpack knowledgeEffective Communication with stakeholders and other product team membersExperience in unit and integration testingExperience with DI frameworks- firebase-common 3rd party librariesExperience with an app distribution processExperience with common Design Principles (MVP, MVVM & VMI's) PreferredExperience with Cucumber and Espresso Testing-  TDD/BDD- VCS (git) Preferred"
,,,,,,
Cloud DevOps Intern,Appgain -,"Dokki, Giza, Egypt ",Posted 13 days ago,Internship,InternshipEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · AWS · Cloud · DevOps · Engineering · Docker,"Basic knowledge  in python scripting, UFW, Kubernetes, Docker, AWS/DO/AzureArmy service: either finished or not required for.Graduated or Senior Student at   Computer Science or Engineering (computer Department )"
,,,,,,
Dev-Ops Engineer (Remotely for USA),Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Posted 9 days ago,Full Time,Full TimeExperienced · 4 - 9 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · AWS · Information Technology (IT) · Java · Kubernetes · Python,"Must-Have Skills:In depth knowledge of AWS services, infrastructure, and functionality:CloudFormation.AWScli IaaS - VMs, Storage, Networking, Images, ExpressRoute/DirectConnect, Load Balancing, Availability Sets/Zones, Scale Sets.Operations Management Suite (OMS), CloudWatch  AWS Cost Management. Hands-on experience with Kubernetes (preferably AKS and/or EKS) specifically:Hands-on experience with OpenShift preferred. Expert level knowledge of pods, nodes, deployments (blue-green, canary, rollbacks etc.), load balancers and Helm charts.Deploying microservices / Java REST based containers.Maintaining Security in a Kubernetes cluster.Deploying tools for container monitoring, metrics and logging.AWS SQS and SNS.Strong server administration skills (Windows, RHEL and Ubuntu)Hands-on experience designing systems for automation, orchestration and system configuration tools (Jenkins, Ansible, Puppet, Chef, BaSH, PowerShell, Python, Terraform)Experience with source code management (Git)Ability to anticipate production needs and provide architectural solutions.Experience with user acceptance testing and environment troubleshooting.Experience with working in DevOps teams and prior experience with automation projects (cloud)Experience with AWS big data solutions including, Kafka.Preferred: AWS certificationsExperience or awareness of working in an environment that handles confidential data.Experience creating infrastructure as code, including applications/servers blueprints, load balancers, networks, and other deployments.Experience with automating HA and DR Failovers.Understanding of API automation and tools integration. "
,,,,,,
Odoo Developer,Perfect Presentation -,"6th of October, Giza, Egypt ",Posted 3 days ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Accounting · Business Systems · Python · Information Technology (IT) · Computer Science,"Qualification and Skills:Bachelor or master's degree in a related field.+ 3 years' experience.Good background in accounting, high-quality Odoo applications.Should have previous experience in Odoo accounting implementation as well as a solid understandingKnowledge in HR, Sales, Purchase, and Accounting Modules.Have a strong business and analytical skills, good problem-solving skills, and a fast learner.Have the ability to work in groups and independently with minimal supervision.Eager to learn new technologies and willing to relocate if required."
,,,,,,
Data Architect,Silicon Egypt -,"Nasr City, Cairo, Egypt ",Posted 3 days ago,Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · ETL · Data Modeling · Database · Data · Big Data · Computer Engineering,"Requirements:Bachelor’s degree in computer science, computer engineering, or relevant field.A minimum of 2 years of experience in a similar role.Strong knowledge of database structure systems for both relational and nonrelational DB.Demonstrated strength in data modeling, ETL development.know Unix and Shell Scripting.Requirement documentation and information gathering techniques.familiar with Kafka, pythonExcellent organizational and analytical abilities.Outstanding problem solver.Good written and verbal communication skills."
,,,,,,
Odoo Developer,Yodawy -,"Cairo, Egypt ",Posted 3 days ago,Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Software Development · GitHub · HTML · PostgreSQL · JavaScript · JQuery · ORM,"Bachelor of Computer Science or related.Strong expertise in OdooExpertise in Odoo integrations with other cloud systemsTechnical and functional knowledge of Odoo modules and featuresConcrete understanding of object oriented design and programmingExpertise in relational databasesSolid expertise with GIT or equivalent source control systemFamiliarity with HTML, XML, JavaScript, and JQueryGood knowledge of business processesSolid experience with ORM (Object Relational Mapper) libraries such as SQL AlchemyAble to integrate multiple data sources/databases into one systemGood understanding of accessibility and security complianceSolid knowledge of user authentication and authorization between multiple systems, servers, and environmentsSolid experience of design principles behind a scalable application, data structure, APIs in Odoo"
,,,,,,
Data Scientist/ML Engineer,TMentors -,"Maadi, Cairo, Egypt ",Posted 4 days ago,Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Machine Learning · Data Science · Python · Engineering · ETL · Cloud · Information Technology (IT),"Required Job Qualifications:1-3 years of experience or a proven track accompanied by a strong portfolio of data science projectssuch as Kaggle competitions or bachelor’s graduation project.Strong mathematical background in statistics and machine learning.Knowledge of standard data science tools and libraries, i.e.: Apache spark, NumPy, pandas, SciPy, and PyTorch if interested in our deep learning research endeavours.Experience in conducting data science projects end-to-end, from project scoping to delivery.A systematic mindset and methodological aptitude to approaching complexity and open-endedness associated with data science projects.Ability to work in a fast-paced, ever-changing environment, with a can-do and positive approach.Provable experience with data wrangling and cleaning methodologies is a must.Provably working knowledge of SQL and ETL scripting is a must.Understanding of reporting data visualization tools such as PowerBi.Preferred Qualifications:We provide mentoring and direction for our team to improve themselves in the following domains in case they need a refresher or learn it from scratch.Experience in architecting large-scale distributed data systems considering scalability, reliability,security, performance, and flexibility.Experience with distributed computing systems and/or cloud infrastructures (e.g. Spark, Hadoop, YARN, Kubernetes, etc.) is a plus.Understanding of fundamental probabilistic interpretations of machine learning algorithms andtheir respective statistical propertiesKnowledge in causal inference and econometrics.Knowledge of Google Analytics"
,,,,,,
Linux System Engineer,ECC Solutions -,"6th of October, Giza, Egypt ",Posted 12 days ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · Computer Engineering · Installation · Maintenance · Operations · Linux,"+3 years minimum experience as a dedicated Linux administrator in a large-scale enterprise environment is a must.Experience with Open Source Mail systems “Qmail or Zimbra” build, maintenance, and operation processes.Knowledge of Storage SAN, and NAS management,Experience with the automation of system build, maintenance, and operation processes using, Python, Perl, or other scripting technology.Knowledge of, MySQL, WebLogic, BIND, NGINX, Shell Scripting, Python, and LDAP .Experience in systems security, fault tolerance, disaster recovery and backup technologies/implementations.Very Good hardware/networking administration skillsVery Good Presentation, analytical & Problem-Solving SkillsAvailability to work non-standard hours during Maintenance Windows, Business Continuity, Disaster Recovery &/or security incidents. Providing 24x7 operational support for escalations on a rotating basis.Experience with using ticketing systemsExperience with EMC PowerPath and/or IBM SDDSM preferred.Working knowledge of AIX OS administration is highly preferred.CertificationsRed Hat Certificate Engineer (RHCE) is a preferred, Red Hat Certificate System Administrator (RHCSA) is a must."
,,,,,,
Junior Robotics Engineer,Icity -,"Maadi, Cairo, Egypt ",Posted 13 days ago,Full Time,Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · PLC · Python · Robotics · Software · Information Technology (IT) · Mechatronics,"Skills and Experience:B.Sc. in Mechatronics EngineeringPrevious experience as a robotics engineer or similar role is preferredProgramming skills(C++, Python)Experience in Robot operating system (ROS)Simulation for robotic system is necessary (Gazebo or another simulation software)Familiar with the concepts of SLAMExperience in integrating robotic arms in a system is preferredExperience with PLC is preferredAbility to develop and evaluate integrated systems"
,,,,,,
Backend Developer Ruby on Rails,Tays -,"New Cairo, Cairo, Egypt ",Posted 9 days ago,Full Time,Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Software Development · Information Technology (IT) · Software Engineering · Computer Engineering · HTML · JavaScript,"Proficient knowledge of Ruby back-end programming language using Ruby on Rails framework.Basic understanding of front-end technologies and platforms, such as JavaScript, HTML, and CSS.Management of hosting environment, including database, administration, and scaling an application to support load changes.Creating database schemas that represent and support business processes.Proficient understanding of code versioning using Git.Good command of written/spoken English BS/MS degree in Computer Science, Engineering or a related subjectExcellent knowledge and commercial experience in building robust mobile productsDeep understanding of test-driven development, continuous integration, and deliveryStrong knowledge of design patterns and software engineering best practicesStrong communication and collaboration skills and ability to work in a fast-paced dynamic environmentSincere interest in working at a startup and scaling with the company as it growsAdaptable to learning new skills, taking on additional responsibilities, and changes in working hours/conditions.Eagerness to learn and constantly improve yourselfWorking 3 days from office and 2 days remotely"
,,,,,,
Junior Software Engineer - BackEnd,intella -,"Dokki, Giza, Egypt ",Posted 15 days ago,Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · Computer Science · engineer · Software · Software Development · Software Engineering · Software engineer · Information Technology (IT),"Demonstrated capabilities in software development, architecture design and (Agile) project managementExperience with Node, Python, Design Patterns and OOPExperience with REST and API services, HTTP Status Codes, Content Negotiation, API versioning, and CachingExperience with MySQL, and/or SQLServer, MongoDBExperience with Unit testing and TDDBachelor’s degree in computer science, engineering or any related majors is required"
,,,,,,
Senior Voice Software Engineer,Unifonic -,"Cairo, Egypt ",Posted 17 days ago,Work From Home,Work From HomeExperienced · 5 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Asterisk · AWS · Python · Java · Redis · MySQL · PostgreSQL · HTTP,"Experience with open-source voice technologies such as OpenSIPs, Freeswitch, Asterisk, and scaling them.Strong experience and understanding of protocols such as SIP, RTP, RTCP, SDP, and HTTP.Experience with Carrier Network management and troubleshooting.Good knowledge and experience of networking concepts such as Subneting, Firewalls, NAT.Experience working with cloud infrastructures such as Openstack and AWS.Strong experience in Python or Java programming is mandatory.Experience in OpenSIPS/Kamailio scripting language or KEMI is required.Experience with data stores such as MySQL, PostgreSQL, and Redis.Bachelor’s degree in computer science or any related field.Superb communication skills.Fluent in English with excellent writing/editing and verbal communication skills."
,,,,,,
Junior Data Warehouse Engineer/ Data Engineer,360Imaging -,"Dokki, Giza, Egypt ",Posted 16 days ago,Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · DBT · ML · Looker · Tableau · Python · SQL," Fluent English.Experience in Data Modeling and Dimensional Modeling is a plusHave a Knowledge in SQL is a mustExperience in at least one ETL tool [SSIS, Talend, stitch, airflow ] is a plusExperience in ETL auditing is a plusExperience in DBT is a big plusExperience in GIT is nice to haveExperience in BigQuery is nice to haveExperience in GCP is nice to have"
,,,,,,
DevOps: Site Reliability Engineer/ Support Engineer,Cegedim -,"New Cairo, Cairo, Egypt ",Posted 17 days ago,Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell,"Experiences and Skills: 2+ years in Linux and Windows systems administrationExcellent problem-solving and communication skillsGood understanding of computer systemsAbility to diagnose and troubleshoot basic technical issuesAbility to provide step-by-step technical help, both written and verbalHands-on experience with Windows/Linux environmentsGood knowledge of scripting languages: Python, Bash, PowerShell…Knowledge of automation tools such as puppet, ansible, terraformKnowing Kubernetes is a plusTechnical Environment:Systems: Linux / WindowsContainerization: KubernetesBasics: Oracle / MongoDB / PostgreSQLScripting: Python / Bash / PowerShell / Groovy / GoCI / CD: Git / Jenkins / SaltStack / JIRA"
,,,,,,
Senior Front End Developer ( React JS ),Div Systems -,"Mokattam, Cairo, Egypt ",Posted 11 days ago,Full Time,Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React js · Redux · HTML · SVG · Nods Js · Python · Django · front-end,2-6 years of experience. 
,,,,,,
Senior Rust Developer,Evolvice GmbH -,"Maadi, Cairo, Egypt ",Posted 11 days ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · English · rust · python · Information Technology (IT) · Software Development · Software Engineering,Requirements:- 5+ years in software development;- 3+ years' experience in Rust development;- Excellent written and oral communication skills;- Strong analytical and problem solving skills;- At least Upper-Intermediate English (all internal communication is in English).
,,,,,,
Senior Devops Engineer,Expeditions -,"Cairo, Egypt ",Posted 15 days ago,Full Time,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CI/CD · DevOps · Security · Computer Science · Information Technology (IT) · MySQL · Python · Software Development,"Bachelor’s degree in computer science or equivalent5+ years of relevant experience.A clear understanding of Internet and system security issues.Must possess strong scripting skills (i.e. Python, Bash, Ruby, Perl).Strong understanding of CI/CD.Strong understanding of cloud platforms knowledge.Strong understanding of version control systems (Specifically Git).Good understanding of virtualization and containerization.Good understanding of RDBMS (i.e. MySQL, Postgresql).Hands-on experience using infrastructure as code tools (i.e. Ansible, Chef, Puppet, Salt, Terraform, Cloud formation).Hands-on experience using one of the cloud platform providers (i.e. AWS, GCP, Azure, OCI).Hands-on experience using Kubernetes."
,,,,,,
Devops Engineer,Ejada (Cairo) -,"Cairo, Egypt ",Posted 15 days ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · CI/CD · JIRA · Microsoft TFS · Cybersecurity · Java,"A solid work experience with DevOp.A solid work experience with containerization (OpenShift).Advanced knowledge of programming languages such as Python and Java, and writing code and scripts.Ability to install and configure software, gather test-stage data, and perform de-bugging.Ability to ensure smooth software deployment by writing script updates and running diagnostics.Proficiency in documenting processes and monitoring performance metrics.Advanced knowledge of best practices related to data encryption and cybersecurity.Exceptional interpersonal and communication skills.Solid experience in building and operating CI/CD pipelines.Experience with one or more CI/CD tools (Jenkins is preferred).Experience with one or more project and issue tracking tools (JIRA and MS TFS are preferred)."
,,,,,,
Senior BI Developer,Centro CDX -,"Maadi, Cairo, Egypt ",Posted 15 days ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Analysis · Azure · Communication skills · Computer Science · Development · ERP · Information Technology (IT),"Deep understanding of the concepts related to Data Warehouse Modeling. Ability to convert from OLTP to OLAP schemas. Experience with the Microsoft Azure platform including Data Lakes, Blob Storage, Azure SQL, Azure Data Factory, Azure Analysis Services, Azure Synapse (DW), and Azure ML Business Intelligence development using the Microsoft BI Stack (Power BI, SSRS, SSIS, SSAS) Experience with the following languages: TSQL, MDX, DAX, M Experience working with SQL ServerExcellent technical writing skills (documentation skills) Excellent communication skills both written and verbal Ability to adjust the working schedule to meet client needs Bachelor’s degree in computer science or equivalent combination of education Desired Qualifications Knowledge of Dynamics 365 Finance and Operations (ERP) and/or Dynamics 365 Customer Engagement (CRM) database structure Knowledge of big data concepts and tools Experience in development with Python"
,,,,,,
Test Software Engineer - Multinational,Pillars -,"Cairo, Egypt ",Posted 18 days ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Python · Jenkins · Software Development,"Must have:Identifies and solves problems which requires analysis by adopting existing procedures, techniques and methods. Actively contributes to improvements and changes. Takes responsibility for his/her actions and his/her delivery, and encourages others to do the same. Have a good understanding of the group's joint task. Seen as a person who takes full responsibility and work colleagues can trust. Works independently. Excellent communication skills, including fluent in English.The experience following is mandatory:Agile development principlesDev Ops principles (Jenkins)Python (3+ Years)Decent experience in SW Development (5+ Years)Test Management systemsNice to haveTesting within Automotive domainTesting within Infotainment domainRobot frameworkLanguagesEnglish: B2 Upper IntermediateSeniority Senior"
,,,,,,
(For USA) Front-End Security Developer,Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Posted 12 days ago,Full Time,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Node.js · React.js · STEM · Redux · graphql · git · jira,"Front-End Security Developer skills and qualifications5+ years of JavaScript/Node development3+ years of React.js developmentBachelor’s in Computer Science or related STEM fieldProficient knowledge of popular React libraries such as Redux and React-ApolloExperience with common tools used to deploy a React application to a production environment (Babel, Webpack, NPM)Experience with at least one testing framework (preferably Jest)Familiarity with GraphQLUnderstanding of responsive design and UI/UX best practicesUnderstanding of information security principles and best practicesProficient understanding of code versioning tools (git)Knowledge of Agile & SDLC methodologies and tools (Jira)Ability to communicate processes, ideas, and solutions to other team members and clients clearly and effectively Preferred Skills:TypescriptServer-side Node development (GraphQL is a plus)Experience with PWAsExperiece with cloud computing environmentExperience with DockerPython 3"
,,,,,,
BI Operation Support Specialist,B.Tech -,"Nasr City, Cairo, Egypt ",Posted 12 days ago,Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · BI · Operations · Python · Power BI · Microsoft Power BI · SSIS · Engineering,"Bachelor Degree, Computer Science, Computer Engineering or equivalentMicrosoft SQL serverMicrosoft BI stack (SSIS, SSAS, Power BI)Other BI tools if existsKnowledge of BI cycleSolid experience in vendor handlingHigh communication skillsHigh Ownership and commitment"
,,,,,,
Big Data Engineer,Azentio Software -,"Maadi, Cairo, Egypt ",Posted 19 days ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Big Data · Hadoop · Spark · Algorithms · Computer Engineering · Computer Science · Data · Engineering,"B.Sc. in Computer Science or equivalentMinimum 5 years of experience in Big Data Technologies.Familiar with the Hadoop Ecosystem, specifically Sqoop, Flume, OozieKnowledgeable in Hadoop administrationExperienced in working with SparkExperienced in Python statistical modeling techniques and Python libraries.Programming using Python or ScalaExperienced programming in Java and rest APIsFamiliar with UNIX shell commandsFamiliar with Microsoft Azure and/or Hortonworks Data PlatformMachine Learning Algorithms (a plus)Statistical expertise (statistical tests, t-test, F-test, Profiling techniques, etc.)Proficiency in English is a must"
,,,,,,
